"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.574590300E-2,-4.718048096E0,3.346960783E0,3.853640795E0
1.800298300E-2,-4.718646049E0,3.370888948E0,3.901497364E0
2.026738700E-2,-4.586442947E0,3.346362352E0,4.107878208E0
2.252123300E-2,-4.448855400E0,3.255435228E0,4.174877167E0
2.477446700E-2,-4.391427994E0,3.136392355E0,4.107280254E0
2.702452800E-2,-4.438685894E0,2.988635540E0,4.048655987E0
2.927696900E-2,-4.519443989E0,2.821736097E0,4.118646145E0
3.153118100E-2,-4.567898273E0,2.688336134E0,4.284946918E0
3.378459800E-2,-4.640879631E0,2.553740025E0,4.590032101E0
3.603789500E-2,-4.728217602E0,2.448455811E0,4.861617565E0
3.829119100E-2,-4.772484779E0,2.371885538E0,5.186442852E0
4.054522000E-2,-4.826921463E0,2.299502611E0,5.539384365E0
4.279717300E-2,-4.918447018E0,2.212762833E0,5.839683533E0
4.505028500E-2,-5.042275429E0,2.032104731E0,5.871388435E0
4.730303100E-2,-5.216353416E0,1.823330879E0,5.572884083E0
4.955712100E-2,-5.323431969E0,1.585843205E0,5.202594757E0
5.181078300E-2,-5.365904808E0,1.414756417E0,5.139184952E0
5.406401800E-2,-5.337191105E0,1.428515077E0,5.129613400E0
5.631731400E-2,-5.267200947E0,2.269592285E0,4.389633179E0
5.857115900E-2,-5.257629395E0,3.466003656E0,4.249054909E0
6.082360100E-2,-5.282754421E0,3.392424345E0,7.113263607E0
6.307665200E-2,-5.281557560E0,2.821736097E0,8.644669533E0
6.532927700E-2,-5.201398373E0,2.336591244E0,8.020143509E0
6.758336700E-2,-5.133800983E0,2.193620205E0,6.063412666E0
6.983660100E-2,-5.267798901E0,2.221735716E0,4.441677094E0
7.209020300E-2,-5.373083115E0,3.026920557E0,4.503890514E0
7.434294900E-2,-5.469992638E0,4.087539196E0,5.620141983E0
7.659465900E-2,-5.552545071E0,4.862215519E0,6.696314335E0
7.884966400E-2,-5.640480995E0,5.714658737E0,7.012166977E0
