"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.776816200E-2,-1.958525300E0,9.170493126E0,-2.425125837E0
2.004213800E-2,-1.935195327E0,9.160921097E0,-2.415554523E0
2.229299200E-2,-1.939980984E0,9.189037323E0,-2.410768747E0
2.454392800E-2,-1.892124534E0,9.189037323E0,-2.434098721E0
2.680117000E-2,-1.944168448E0,9.069993973E0,-2.468794823E0
2.905403900E-2,-2.063211441E0,8.998807907E0,-2.445464849E0
3.130867800E-2,-2.100898266E0,8.913264275E0,-2.465803623E0
3.355727400E-2,-2.115255117E0,8.851051331E0,-2.499303341E0
3.580129200E-2,-2.119442701E0,8.813364029E0,-2.562114954E0
3.806612400E-2,-2.109273195E0,8.799007416E0,-2.638685226E0
4.031990900E-2,-2.090130568E0,8.790034294E0,-2.691327333E0
4.257680500E-2,-2.075773716E0,8.780462265E0,-2.763111830E0
4.482601100E-2,-2.089532375E0,8.737391472E0,-2.825325251E0
4.707967300E-2,-2.146361828E0,8.704490662E0,-2.854637384E0
4.933187100E-2,-2.170290232E0,8.661419868E0,-2.845066071E0
5.158522800E-2,-2.222334146E0,8.599804878E0,-2.883949518E0
5.383779100E-2,-2.255235434E0,8.542975426E0,-2.951546669E0
5.609133100E-2,-2.307279348E0,8.509475708E0,-2.956930637E0
5.834456600E-2,-2.344966173E0,8.471788406E0,-2.995813847E0
6.059969300E-2,-2.354537487E0,8.475975990E0,-2.952743053E0
6.285414900E-2,-2.359921217E0,8.437690735E0,-2.876172781E0
6.510311100E-2,-2.426920414E0,8.408976555E0,-2.814557552E0
6.735634600E-2,-2.465205431E0,8.423334122E0,-2.723630428E0
6.960842200E-2,-2.475374937E0,8.475378036E0,-2.589632273E0
7.186183900E-2,-2.499901533E0,8.532207489E0,-2.493321180E0
7.411232700E-2,-2.519642353E0,8.594420433E0,-2.397608280E0
7.636934700E-2,-2.510669231E0,8.670392990E0,-2.330011129E0
7.862337600E-2,-2.553740025E0,8.784649849E0,-2.252842426E0
8.087587800E-2,-2.578266382E0,8.922835350E0,-2.151745796E0
8.312801300E-2,-2.583650351E0,9.079565048E0,-2.088335991E0
8.538106500E-2,-2.622533560E0,9.279964447E0,-1.939382792E0
8.763436100E-2,-2.647060156E0,9.451051712E0,-1.799402595E0
8.988753600E-2,-2.709871531E0,9.655637741E0,-1.626521230E0
9.213704800E-2,-2.744567633E0,9.874580383E0,-1.414756417E0
9.437722100E-2,-2.755335331E0,1.004566765E1,-1.246062398E0
9.663466600E-2,-2.822334290E0,1.022154045E1,-1.111466169E0
9.889913200E-2,-2.828316450E0,1.041236782E1,-9.332008362E-1
1.011557840E-1,-2.881556749E0,1.055952644E1,-7.938188910E-1
1.034090200E-1,-2.867797852E0,1.073061275E1,-6.729813814E-1
1.056591410E-1,-2.849851847E0,1.087358475E1,-5.665007830E-1
1.079122550E-1,-2.797807932E0,1.100698376E1,-5.030909777E-1
1.101650620E-1,-2.693720102E0,1.111645603E1,-4.833501875E-1
1.124185420E-1,-2.598605394E0,1.119721317E1,-4.438686073E-1
1.146723860E-1,-2.541775942E0,1.120199966E1,-4.582255483E-1
1.169245830E-1,-2.498705149E0,1.122532940E1,-4.671986103E-1
1.191782450E-1,-2.394019127E0,1.120618629E1,-4.719842672E-1
1.214301990E-1,-2.317448616E0,1.114935684E1,-5.198407173E-1
1.236836770E-1,-2.274377823E0,1.107757282E1,-5.868397355E-1
1.259366070E-1,-2.226521492E0,1.099202919E1,-6.209374666E-1
1.281897810E-1,-2.169093609E0,1.089212894E1,-6.975077987E-1
1.304399040E-1,-2.149353027E0,1.076351452E1,-7.698906660E-1
1.326805660E-1,-2.106282234E0,1.065882874E1,-8.470591903E-1
1.349358140E-1,-2.091326952E0,1.057807064E1,-9.242277741E-1
1.372019270E-1,-2.076970100E0,1.051107121E1,-9.720842242E-1
1.394581530E-1,-2.081157446E0,1.041595650E1,-1.044467092E0
1.417105950E-1,-2.109273195E0,1.033998489E1,-1.112064362E0
1.439572370E-1,-2.104487419E0,1.029691410E1,-1.179661512E0
1.462138290E-1,-2.065604210E0,1.020179939E1,-1.256231904E0
1.484673690E-1,-2.074577332E0,1.012582684E1,-1.386042476E0
1.507228010E-1,-2.035693884E0,1.006899738E1,-1.496112347E0
1.529740830E-1,-2.025524378E0,9.978668213E0,-1.578066587E0
1.552269510E-1,-2.011167526E0,9.926624298E0,-1.660020709E0
1.574795150E-1,-1.972882271E0,9.883553505E0,-1.698305845E0
1.597327500E-1,-1.972284079E0,9.821938515E0,-1.750947952E0
1.619864120E-1,-1.925025821E0,9.740582466E0,-1.718046665E0
1.642432480E-1,-1.915454507E0,9.678369522E0,-1.699502230E0
1.664925160E-1,-1.915454507E0,9.611968994E0,-1.694716692E0
1.687465450E-1,-1.896910191E0,9.554540634E0,-1.637887120E0
1.709972160E-1,-1.878365755E0,9.521040916E0,-1.551745534E0
1.732509990E-1,-1.878365755E0,9.468399048E0,-1.470987678E0
1.755041730E-1,-1.846062660E0,9.429515839E0,-1.380060434E0
1.777575910E-1,-1.803590059E0,9.343374252E0,-1.270588875E0
1.800104600E-1,-1.756331801E0,9.338588715E0,-1.174875975E0
1.822629620E-1,-1.714457393E0,9.305088997E0,-1.045663476E0
1.845168690E-1,-1.605584025E0,9.304491043E0,-9.158528447E-1
1.867707140E-1,-1.549352646E0,9.270393372E0,-7.962117195E-1
1.890229120E-1,-1.587637782E0,9.256634712E0,-7.680960894E-1
1.912769390E-1,-1.587637782E0,9.251250267E0,-7.250252366E-1
1.935288310E-1,-1.545165181E0,9.236893654E0,-6.819544435E-1
1.957794420E-1,-1.473978758E0,9.236893654E0,-6.717849374E-1
1.980241320E-1,-1.483550072E0,9.256035805E0,-6.622136831E-1
2.002878640E-1,-1.507478237E0,9.284749985E0,-6.813562512E-1
2.025415880E-1,-1.441077471E0,9.317651749E0,-6.281159520E-1
2.047981190E-1,-1.460219979E0,9.317651749E0,-6.334998012E-1
2.070475700E-1,-1.384247899E0,9.346364975E0,-6.185446382E-1
2.093008040E-1,-1.384247899E0,9.341579437E0,-6.185446382E-1
2.115532450E-1,-1.374676585E0,9.346364975E0,-5.754738450E-1
2.138067240E-1,-1.408176184E0,9.360722542E0,-5.515456200E-1
2.160596540E-1,-1.394417405E0,9.350552559E0,-4.701896608E-1
2.183090450E-1,-1.418345571E0,9.355338097E0,-4.414757788E-1
2.205531240E-1,-1.447059512E0,9.350552559E0,-4.127618968E-1
2.228203960E-1,-1.442872047E0,9.374481201E0,-3.457628787E-1
2.250724710E-1,-1.414158225E0,9.378668785E0,-3.122633696E-1
2.273285140E-1,-1.452443361E0,9.383454323E0,-2.883351147E-1
2.295778430E-1,-1.490728498E0,9.373882294E0,-2.027917206E-1
2.318302840E-1,-1.500898004E0,9.388239861E0,-1.357926875E-1
2.340771110E-1,-1.515254974E0,9.388239861E0,-9.272187948E-2
2.363245460E-1,-1.487139225E0,9.425926208E0,-3.948157281E-2
2.385909040E-1,-1.548754454E0,9.397810936E0,-6.400800496E-2
2.408457860E-1,-1.624726534E0,9.393025398E0,-6.400800496E-2
2.431009740E-1,-1.625324726E0,9.354740143E0,1.196411345E-2
2.453537810E-1,-1.639681697E0,9.364311218E0,-7.178467698E-3
2.476025610E-1,-1.639681697E0,9.416953087E0,-6.580262445E-3
2.498560410E-1,-1.696511269E0,9.402596474E0,-3.110669367E-2
2.521081770E-1,-1.696511269E0,9.421739578E0,1.196411345E-2
2.543621430E-1,-1.720439434E0,9.416953087E0,2.392822644E-3
2.566155610E-1,-1.744367719E0,9.402596474E0,1.674975827E-2
2.588694060E-1,-1.744367719E0,9.407382011E0,5.024927482E-2
2.611183700E-1,-1.777269006E0,9.407382011E0,2.153540403E-2
2.633591530E-1,-1.734796405E0,9.416355133E0,6.939185411E-2
2.656113510E-1,-1.797009826E0,9.425926208E0,1.268195957E-1
2.678647070E-1,-1.849053741E0,9.430712700E0,1.166501045E-1
2.701236180E-1,-1.840080619E0,9.435498238E0,1.172483116E-1
2.723897310E-1,-1.821536183E0,9.445069313E0,2.033899277E-1
