"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.106774400E-2,-2.350303978E-1,3.646865487E-1,1.708895564E-1
9.331841500E-2,-2.289217561E-1,3.561344445E-1,1.696678251E-1
9.557030700E-2,-2.177734673E-1,3.512475193E-1,1.684460938E-1
9.782366400E-2,-2.078468949E-1,3.451388776E-1,1.685988009E-1
1.000763490E-1,-2.005165219E-1,3.414736688E-1,1.685988009E-1
1.023298270E-1,-1.930334121E-1,3.378084898E-1,1.637118906E-1
1.045832450E-1,-1.844813079E-1,3.316998184E-1,1.612684280E-1
1.068364190E-1,-1.769981980E-1,3.280346394E-1,1.612684280E-1
1.090897160E-1,-1.721112877E-1,3.194825351E-1,1.576032341E-1
1.113439890E-1,-1.682933718E-1,3.170390725E-1,1.553124934E-1
1.135925850E-1,-1.621847153E-1,3.121521473E-1,1.504255682E-1
1.158356260E-1,-1.571450830E-1,3.084869385E-1,1.467603743E-1
1.181005800E-1,-1.547016203E-1,2.999348342E-1,1.455386430E-1
1.203518000E-1,-1.498146951E-1,2.901609838E-1,1.418734491E-1
1.226119930E-1,-1.484402567E-1,2.866485119E-1,1.382082552E-1
1.248619940E-1,-1.447750628E-1,2.780964077E-1,1.345430762E-1
1.271165100E-1,-1.411098689E-1,2.732094824E-1,1.284344196E-1
1.293696830E-1,-1.372919679E-1,2.658790946E-1,1.247692257E-1
1.316216360E-1,-1.324050426E-1,2.585487068E-1,1.211040318E-1
1.338746260E-1,-1.298088580E-1,2.487748712E-1,1.149953827E-1
1.361270680E-1,-1.261436790E-1,2.365575731E-1,1.088867337E-1
1.383795100E-1,-1.223257631E-1,2.243402600E-1,1.039998084E-1
1.406289000E-1,-1.198823079E-1,2.109012306E-1,9.651670605E-2
1.428875660E-1,-1.172861308E-1,2.047925740E-1,9.162978828E-2
1.451409840E-1,-1.172861308E-1,1.974621862E-1,8.674286306E-2
1.473963550E-1,-1.172861308E-1,1.889100820E-1,8.185594529E-2
1.496469040E-1,-1.172861308E-1,1.791362315E-1,7.696902007E-2
1.518997740E-1,-1.172861308E-1,1.705841124E-1,7.330382615E-2
1.541525200E-1,-1.209513173E-1,1.669189334E-1,6.963863969E-2
1.564064870E-1,-1.195768714E-1,1.608102769E-1,6.475171447E-2
1.586600270E-1,-1.195768714E-1,1.534798890E-1,6.337726861E-2
1.609142370E-1,-1.207986027E-1,1.473712474E-1,5.849034712E-2
1.631665570E-1,-1.244637966E-1,1.424843222E-1,5.360342562E-2
1.654204030E-1,-1.244637966E-1,1.388191283E-1,5.115996301E-2
1.676720500E-1,-1.256855279E-1,1.337794960E-1,4.871650413E-2
1.699254680E-1,-1.269072592E-1,1.301143020E-1,4.749477282E-2
1.721783970E-1,-1.281289905E-1,1.288925707E-1,4.627304152E-2
1.744319370E-1,-1.305724531E-1,1.264491081E-1,4.367686436E-2
1.766843790E-1,-1.293507218E-1,1.264491081E-1,4.260785133E-2
1.789312670E-1,-1.305724531E-1,1.288925707E-1,4.260785133E-2
1.811784590E-1,-1.317941695E-1,1.288925707E-1,4.367686436E-2
1.834455490E-1,-1.354593635E-1,1.313360333E-1,4.367686436E-2
1.856989060E-1,-1.354593635E-1,1.313360333E-1,4.123340547E-2
1.879542760E-1,-1.342376322E-1,1.350012124E-1,4.138612002E-2
1.902041540E-1,-1.342376322E-1,1.386664063E-1,4.382958263E-2
1.924573880E-1,-1.342376322E-1,1.424843222E-1,4.138612002E-2
1.947101970E-1,-1.356120855E-1,1.473712474E-1,4.016438872E-2
1.969635530E-1,-1.356120855E-1,1.547016203E-1,4.138612002E-2
1.992170320E-1,-1.319468915E-1,1.608102769E-1,4.138612002E-2
2.014713040E-1,-1.356120855E-1,1.632537395E-1,4.138612002E-2
2.037233180E-1,-1.343903542E-1,1.693623960E-1,4.260785133E-2
2.059728920E-1,-1.319468915E-1,1.705841124E-1,4.260785133E-2
2.082152620E-1,-1.319468915E-1,1.656972021E-1,4.382958263E-2
2.104778360E-1,-1.244637966E-1,1.632537395E-1,4.520402849E-2
2.127354650E-1,-1.220203340E-1,1.547016203E-1,4.627304152E-2
2.149869290E-1,-1.195768714E-1,1.510364264E-1,4.627304152E-2
2.172373560E-1,-1.195768714E-1,1.461495161E-1,4.749477282E-2
2.194965730E-1,-1.183551401E-1,1.461495161E-1,4.749477282E-2
2.217500520E-1,-1.145372316E-1,1.412625909E-1,4.749477282E-2
2.240038970E-1,-1.120937690E-1,1.351539344E-1,4.993823543E-2
2.262551780E-1,-1.096503139E-1,1.327104717E-1,4.993823543E-2
2.285085340E-1,-1.072068512E-1,1.253800988E-1,4.993823543E-2
2.307619530E-1,-1.084285825E-1,1.217148975E-1,4.993823543E-2
2.330157370E-1,-1.058324054E-1,1.180497110E-1,4.627304152E-2
2.352678130E-1,-1.033889428E-1,1.143845171E-1,4.749477282E-2
2.375221450E-1,-1.033889428E-1,1.082758680E-1,4.749477282E-2
2.397739150E-1,-1.021672115E-1,1.033889428E-1,4.871650413E-2
2.420276990E-1,-1.009454802E-1,9.972374886E-2,4.993823543E-2
2.442805070E-1,-9.972374886E-2,9.605856240E-2,4.749477282E-2
2.465339870E-1,-9.468411654E-2,8.750644326E-2,4.749477282E-2
2.487869160E-1,-9.224065393E-2,8.139779419E-2,4.871650413E-2
2.510394180E-1,-8.857546002E-2,7.528914511E-2,4.749477282E-2
2.532932640E-1,-8.475755155E-2,6.918048859E-2,4.871650413E-2
2.555478400E-1,-8.720101416E-2,6.291911751E-2,4.749477282E-2
2.577999770E-1,-8.720101416E-2,6.169738993E-2,4.627304152E-2
2.600529680E-1,-9.086620808E-2,6.047565863E-2,4.505131021E-2
2.623054090E-1,-9.208793938E-2,5.925392732E-2,4.260785133E-2
2.645595590E-1,-8.964447677E-2,5.681046844E-2,4.260785133E-2
2.668124880E-1,-9.086620808E-2,5.436700583E-2,4.245513305E-2
2.690658450E-1,-9.208793938E-2,5.436700583E-2,4.123340547E-2
2.713193250E-1,-9.086620808E-2,5.436700583E-2,4.123340547E-2
2.735732930E-1,-8.720101416E-2,5.558873713E-2,3.894266114E-2
2.758253670E-1,-8.842274547E-2,5.192354694E-2,3.649919853E-2
2.780750620E-1,-8.475755155E-2,4.703662544E-2,3.283400834E-2
2.803191420E-1,-8.216137439E-2,4.108068720E-2,3.039054573E-2
2.825842170E-1,-7.971791178E-2,3.375030309E-2,2.672535367E-2
2.848382450E-1,-7.483099401E-2,2.641992271E-2,2.428189293E-2
2.870943480E-1,-6.979135424E-2,2.275473066E-2,2.183843218E-2
2.893449590E-1,-6.490442902E-2,1.542434748E-2,1.817324013E-2
2.915988650E-1,-5.986479297E-2,1.298088674E-2,1.572977938E-2
2.938508180E-1,-5.253441259E-2,9.315694682E-3,1.084285788E-2
2.961038080E-1,-4.886921868E-2,3.207042580E-3,1.206458826E-2
2.983560670E-1,-4.505131021E-2,4.428773187E-3,1.084285788E-2
3.006100950E-1,-4.016438872E-2,-2.901609987E-3,7.177666761E-3
3.028638190E-1,-3.145955876E-2,-6.566801574E-3,2.443460980E-3
3.051180910E-1,-2.779436857E-2,-1.267545391E-2,1.221730490E-3
3.073702280E-1,-2.779436857E-2,-1.756237634E-2,-2.443460980E-3
3.096242550E-1,-2.290744707E-2,-1.756237634E-2,-2.443460980E-3
3.118759030E-1,-2.031126991E-2,-1.756237634E-2,-3.665191587E-3
3.141260250E-1,-1.908953860E-2,-1.389718428E-2,-6.108652335E-3
3.163687000E-1,-1.786780916E-2,-1.267545391E-2,-7.330383174E-3
3.186353020E-1,-1.664607786E-2,-7.788531948E-3,-4.886921961E-3
3.208891470E-1,-1.924225502E-2,-2.901609987E-3,-6.108652335E-3
3.231454940E-1,-1.298088674E-2,-4.581489484E-4,-4.734205548E-3
3.253959220E-1,-9.315694682E-3,6.872233935E-3,-2.290744567E-3
3.276464100E-1,-9.315694682E-3,9.315694682E-3,-3.512475174E-3
3.298857290E-1,-8.093964309E-3,8.093964309E-3,-3.512475174E-3
3.321388420E-1,-9.315694682E-3,1.298088674E-2,-4.734205548E-3
3.343950060E-1,-8.093964309E-3,1.542434748E-2,-5.955935922E-3
3.366645980E-1,-9.468411095E-3,1.786780916E-2,-5.955935922E-3
3.389176500E-1,-6.872233935E-3,1.420261711E-2,-4.734205548E-3
3.411705190E-1,-6.872233935E-3,1.786780916E-2,-4.734205548E-3
3.434214350E-1,-6.872233935E-3,1.786780916E-2,-5.955935922E-3
3.456752800E-1,-4.428773187E-3,2.031126991E-2,-3.512475174E-3
