"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.326989200E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
2.582593400E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
2.833083000E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
3.084312100E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
3.332015200E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
3.585499600E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
3.835536100E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
4.086687100E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
4.336843400E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
4.585041300E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
4.838145500E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
5.086239200E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
5.339135000E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
5.589885000E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
5.838135000E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
6.091327700E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
6.343077700E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
6.589994400E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
6.843020500E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
7.093702700E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
7.344458000E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
7.594270500E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
7.845249600E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
8.096056900E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
8.344312100E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
8.594827700E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
8.845640200E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
9.098327700E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
9.349176700E-2,-3.054236248E-2,-1.116323397E-1,-1.710372418E-2
9.597343400E-2,-6.914790869E-1,-4.219427407E-1,-2.223484069E-1
9.850166300E-2,-7.098045349E-1,-4.231644273E-1,-2.321219593E-1
1.010095800E-1,-7.256865501E-1,-4.207210541E-1,-2.382304370E-1
1.035134860E-1,-7.427902818E-1,-4.182776511E-1,-2.455606014E-1
1.059972360E-1,-7.598940134E-1,-4.121691883E-1,-2.504473627E-1
1.084748400E-1,-7.794411182E-1,-4.072824121E-1,-2.565558553E-1
1.110085380E-1,-8.002098799E-1,-3.975088596E-1,-2.614426315E-1
1.135365590E-1,-8.209787011E-1,-3.865135908E-1,-2.638860047E-1
1.160192670E-1,-8.405258060E-1,-3.669664860E-1,-2.651077211E-1
1.184948400E-1,-8.649597168E-1,-3.474193811E-1,-2.675510943E-1
1.209285900E-1,-8.857285380E-1,-3.217637837E-1,-2.651077211E-1
1.233898400E-1,-9.089407325E-1,-2.997733057E-1,-2.663294077E-1
1.258428610E-1,-9.333745837E-1,-2.765611112E-1,-2.651077211E-1
1.282996840E-1,-9.578084946E-1,-2.521272004E-1,-2.614426315E-1
1.307572880E-1,-9.834640622E-1,-2.276933193E-1,-2.565558553E-1
1.332130690E-1,-1.006676316E0,-2.069245130E-1,-2.516690791E-1
1.356696320E-1,-1.027445078E0,-1.861557066E-1,-2.455606014E-1
1.381272360E-1,-1.049435616E0,-1.678302884E-1,-2.382304370E-1
1.405824440E-1,-1.070204377E0,-1.543916464E-1,-2.296785712E-1
1.430406730E-1,-1.088529825E0,-1.458397806E-1,-2.186833173E-1
1.454968710E-1,-1.105633497E0,-1.470614821E-1,-2.113531530E-1
1.479536940E-1,-1.116628766E0,-1.592784226E-1,-2.028012872E-1
1.504280690E-1,-1.123958945E0,-1.763821393E-1,-1.954711229E-1
1.528669230E-1,-1.130067468E0,-2.008160353E-1,-1.820324808E-1
1.553251520E-1,-1.132510781E0,-2.301367074E-1,-1.710372269E-1
1.577814020E-1,-1.131289124E0,-2.631224692E-1,-1.563768983E-1
1.602383300E-1,-1.127624035E0,-2.973299026E-1,-1.404948682E-1
1.626950480E-1,-1.123958945E0,-3.315373361E-1,-1.221694499E-1
1.651518190E-1,-1.116628766E0,-3.669664860E-1,-1.014006436E-1
1.676101520E-1,-1.109298587E0,-4.048390090E-1,-7.941014320E-2
1.700647880E-1,-1.104411840E0,-4.451549351E-1,-5.864133686E-2
1.725222880E-1,-1.097081661E0,-4.891359508E-1,-3.298575059E-2
1.749801520E-1,-1.092194915E0,-5.331169367E-1,-6.108472589E-3
1.774359860E-1,-1.087308168E0,-5.819846988E-1,1.832541823E-2
1.798945270E-1,-1.084864736E0,-6.320741773E-1,4.520269856E-2
1.823498920E-1,-1.081199646E0,-6.846070886E-1,6.841489673E-2
1.848084340E-1,-1.078756213E0,-7.371399403E-1,9.284878522E-2
1.872648400E-1,-1.081199646E0,-7.908945084E-1,1.136175916E-1
1.897202050E-1,-1.084864736E0,-8.507575393E-1,1.356080920E-1
1.921773400E-1,-1.090973258E0,-9.118422270E-1,1.514901221E-1
1.946349440E-1,-1.097081661E0,-9.814788103E-1,1.673721522E-1
1.970912460E-1,-1.109298587E0,-1.046228647E0,1.832541823E-1
1.995490590E-1,-1.116628766E0,-1.119530320E0,1.966928244E-1
2.020049440E-1,-1.130067468E0,-1.192831993E0,2.052446753E-1
2.044618710E-1,-1.143506050E0,-1.263690233E0,2.125748396E-1
2.069191110E-1,-1.156944752E0,-1.321109891E0,2.186833173E-1
2.093758820E-1,-1.170383334E0,-1.380972981E0,2.211267054E-1
2.118336420E-1,-1.185043693E0,-1.413958669E0,2.247917950E-1
2.142895800E-1,-1.202147365E0,-1.455496311E0,2.260134816E-1
2.167464550E-1,-1.225359559E0,-1.504364133E0,2.235700935E-1
2.192035380E-1,-1.254680276E0,-1.561783671E0,2.186833173E-1
2.216610380E-1,-1.285222650E0,-1.608208179E0,2.125748396E-1
2.241182250E-1,-1.318208337E0,-1.644858956E0,2.076880634E-1
2.265748400E-1,-1.353637576E0,-1.677844763E0,1.966928244E-1
2.290326000E-1,-1.390288353E0,-1.698613524E0,1.832541823E-1
2.314904130E-1,-1.426939249E0,-1.713273883E0,1.710372269E-1
2.339462980E-1,-1.467255116E0,-1.719382286E0,1.563768983E-1
2.364145800E-1,-1.508792758E0,-1.716938972E0,1.368297935E-1
2.388602570E-1,-1.550330400E0,-1.705943704E0,1.148392856E-1
2.413181210E-1,-1.593089700E0,-1.690061688E0,9.162709117E-2
2.437741110E-1,-1.634627223E0,-1.671736240E0,6.597150117E-2
2.462320270E-1,-1.674943209E0,-1.655854225E0,3.787253052E-2
2.486882770E-1,-1.716480851E0,-1.644858956E0,1.099525020E-2
2.511457250E-1,-1.753131628E0,-1.638750434E0,-1.466033421E-2
2.536024440E-1,-1.787339091E0,-1.639972210E0,-4.031591862E-2
2.560594750E-1,-1.821546555E0,-1.639972210E0,-6.474980712E-2
2.585158300E-1,-1.855754018E0,-1.653410792E0,-9.040539712E-2
2.609883820E-1,-1.894848228E0,-1.666849494E0,-1.160609797E-1
2.634320270E-1,-1.936385870E0,-1.691283345E0,-1.429382563E-1
2.658866630E-1,-1.979145169E0,-1.716938972E0,-1.722589284E-1
