"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.884871700E-2,-2.432304144E0,3.040679455E0,8.259425163E0
3.135428900E-2,-2.341377020E0,3.055036306E0,8.388637543E0
3.386007100E-2,-2.255235434E0,3.031108141E0,8.528019905E0
3.641173700E-2,-2.183450699E0,3.059821844E0,8.623732567E0
3.894210200E-2,-2.126022816E0,3.035893679E0,8.714659691E0
4.144652900E-2,-2.102094650E0,3.045464993E0,8.752944946E0
4.396022700E-2,-2.063809633E0,3.102892876E0,8.863015175E0
4.645788300E-2,-2.011167526E0,3.117249727E0,8.973084450E0
4.897220600E-2,-2.001596212E0,3.160320520E0,9.030512810E0
5.147210200E-2,-2.015953064E0,3.165106058E0,9.164510727E0
5.398288300E-2,-2.044667006E0,3.179463148E0,9.255437851E0
5.648303900E-2,-2.068595171E0,3.193820000E0,9.298508644E0
5.899418500E-2,-2.063809633E0,3.141177893E0,9.389435768E0
6.149569600E-2,-2.116451740E0,3.083750248E0,9.485149384E0
6.400491400E-2,-2.106880426E0,3.045464993E0,9.581459999E0
6.650647700E-2,-2.097309113E0,2.997608662E0,9.715457916E0
6.901725800E-2,-2.049452543E0,2.906681299E0,9.806385040E0
7.151882100E-2,-2.011167526E0,2.839682341E0,9.988240242E0
7.400288300E-2,-1.948953986E0,2.781656265E0,1.003609657E1
7.653074800E-2,-1.901097536E0,2.681157827E0,1.000738239E1
7.903923700E-2,-1.795813441E0,2.609373093E0,9.959526062E0
8.154314400E-2,-1.680359721E0,2.551945448E0,9.978668213E0
8.402637300E-2,-1.613360643E0,2.470589399E0,9.993025780E0
8.655788300E-2,-1.450648785E0,2.355733871E0,9.959526062E0
8.906158100E-2,-1.340578914E0,2.274377823E0,9.878170013E0
9.156830000E-2,-1.220937729E0,2.169093609E0,9.777671814E0
9.407772700E-2,-1.125224829E0,2.087737799E0,9.739386559E0
9.657970600E-2,-1.005583763E0,1.968096614E0,9.710672379E0
9.909048700E-2,-8.715856671E-1,1.891526341E0,9.571888924E0
1.015920500E-1,-7.758727670E-1,1.838884234E0,9.494720459E0
1.041051230E-1,-7.184450030E-1,1.738385677E0,9.489934921E0
1.066052790E-1,-6.179464459E-1,1.642074585E0,9.595816612E0
1.091138730E-1,-5.599204898E-1,1.579861164E0,9.638887405E0
1.116174670E-1,-4.833501875E-1,1.498505235E0,9.796813965E0
1.140993940E-1,-4.163511395E-1,1.445863128E0,1.004566765E1
1.166275710E-1,-3.828516304E-1,1.378864050E0,1.025145054E1
1.191370500E-1,-3.445664644E-1,1.240080357E0,1.055294609E1
1.216393940E-1,-3.349951804E-1,1.110867858E0,1.087418270E1
1.241236120E-1,-3.397808075E-1,9.672985673E-1,1.106560802E1
1.266526230E-1,-3.637090325E-1,8.668000102E-1,1.124746323E1
1.291328310E-1,-3.110669553E-1,7.328019142E-1,1.144367409E1
1.315656960E-1,-2.919243574E-1,6.466603279E-1,1.172602749E1
1.340222580E-1,-2.440679073E-1,5.216353536E-1,1.174995518E1
1.364796540E-1,-2.297109663E-1,4.642075896E-1,1.179362488E1
1.389365290E-1,-1.914258152E-1,3.637090325E-1,1.178405285E1
1.413925710E-1,-1.435693651E-1,2.392822653E-1,1.163031483E1
1.438502270E-1,-1.052841991E-1,1.339980662E-1,1.148674488E1
1.463067370E-1,-1.292124242E-1,7.178468257E-2,1.138146114E1
1.487638210E-1,-1.483550072E-1,-8.614161611E-2,1.110389328E1
1.512206960E-1,-1.148554832E-1,-2.057827413E-1,1.111346436E1
1.536775190E-1,-1.770688742E-1,-2.823530734E-1,1.124746323E1
1.561341850E-1,-2.153540403E-1,-2.823530734E-1,1.143888855E1
1.586108000E-1,-3.014956415E-1,-2.967100143E-1,1.147717381E1
1.610484560E-1,-4.307080805E-1,-4.115654826E-1,1.152981567E1
1.635053830E-1,-5.407779217E-1,-5.599204898E-1,1.179841042E1
1.659619980E-1,-6.227321029E-1,-6.035895348E-1,1.213340569E1
1.684190810E-1,-6.945167780E-1,-6.610172391E-1,1.240140152E1
1.708767370E-1,-7.663014531E-1,-6.849454641E-1,1.253061390E1
1.733339770E-1,-7.567301393E-1,-7.088736892E-1,1.269811153E1
1.757897060E-1,-7.423732281E-1,-7.088736892E-1,1.290927792E1
1.782493420E-1,-8.141579032E-1,-6.897311211E-1,1.291884899E1
1.807061640E-1,-8.333004713E-1,-6.753742099E-1,1.244925785E1
1.831634040E-1,-7.758727670E-1,-7.758727670E-1,1.217169094E1
