"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.281201900E-2,-1.896311998E0,3.466601849E0,9.422935486E0
2.534326900E-2,-1.838884234E0,3.433102369E0,9.418149948E0
2.782472700E-2,-1.814955950E0,3.413959742E0,9.389435768E0
3.033092500E-2,-1.824527264E0,3.370888948E0,9.351150513E0
3.279233100E-2,-1.743171334E0,3.380460262E0,9.303294182E0
3.534295600E-2,-1.724028707E0,3.370888948E0,9.288937569E0
3.787123700E-2,-1.690529227E0,3.318246841E0,9.241081238E0
4.035488300E-2,-1.661217093E0,3.279961586E0,9.159725189E0
4.288311200E-2,-1.661217093E0,3.260818958E0,9.111868858E0
4.539264400E-2,-1.632503271E0,3.260818958E0,9.131011009E0
4.789472700E-2,-1.642074585E0,3.251247883E0,9.102297783E0
5.040806000E-2,-1.642074585E0,3.236890793E0,9.064012527E0
5.288602900E-2,-1.637288928E0,3.275176048E0,9.044869423E0
5.541899800E-2,-1.646860242E0,3.260818958E0,9.020941734E0
5.791967500E-2,-1.675574064E0,3.318246841E0,9.025727272E0
6.040259100E-2,-1.728814363E0,3.313461065E0,8.992227554E0
6.293321600E-2,-1.700100541E0,3.318246841E0,8.968298912E0
6.541462300E-2,-1.714457393E0,3.346960783E0,8.997013092E0
6.794545600E-2,-1.680359721E0,3.361317635E0,8.973084450E0
7.044931000E-2,-1.685743570E0,3.346960783E0,8.953942299E0
7.297774800E-2,-1.666002750E0,3.370888948E0,8.939585686E0
7.546139400E-2,-1.695314884E0,3.361317635E0,8.939585686E0
7.794441400E-2,-1.680359721E0,3.380460262E0,8.939585686E0
8.047415400E-2,-1.685743570E0,3.370888948E0,8.906085968E0
8.298227900E-2,-1.675574064E0,3.342175007E0,8.910871506E0
8.548535200E-2,-1.685743570E0,3.342175007E0,8.906085968E0
8.799790400E-2,-1.670788407E0,3.366103172E0,8.939585686E0
9.049936200E-2,-1.642074585E0,3.332603693E0,8.944371223E0
9.301139400E-2,-1.685743570E0,3.332603693E0,8.930013657E0
9.551139400E-2,-1.675574064E0,3.346960783E0,8.934800148E0
9.802076900E-2,-1.675574064E0,3.337389469E0,8.939585686E0
1.005301440E-1,-1.642074585E0,3.299104214E0,8.944371223E0
1.030151440E-1,-1.622931957E0,3.303889751E0,8.963513374E0
1.055416020E-1,-1.608574986E0,3.279961586E0,8.939585686E0
1.080512370E-1,-1.608574986E0,3.299104214E0,8.915657043E0
1.105568100E-1,-1.608574986E0,3.270390272E0,8.949156761E0
1.130306640E-1,-1.584646821E0,3.241676569E0,8.934800148E0
1.154801960E-1,-1.584646821E0,3.260818958E0,8.915657043E0
1.179125390E-1,-1.594218135E0,3.270390272E0,8.886942863E0
1.203922270E-1,-1.613360643E0,3.265604734E0,8.863015175E0
1.228246750E-1,-1.589432478E0,3.260818958E0,8.877371788E0
1.252808210E-1,-1.594218135E0,3.256033421E0,8.925228119E0
1.276930600E-1,-1.565504193E0,3.241676569E0,8.968298912E0
1.301950910E-1,-1.570289850E0,3.203391314E0,8.977870941E0
1.326519660E-1,-1.579861164E0,3.189034462E0,9.020941734E0
1.351083730E-1,-1.608574986E0,3.122035265E0,9.111868858E0
1.375655600E-1,-1.560718536E0,3.088535786E0,9.135796547E0
1.400221230E-1,-1.551147223E0,3.083750248E0,9.164510727E0
1.424789980E-1,-1.560718536E0,3.031108141E0,9.202795982E0
1.449357690E-1,-1.532004714E0,2.940180779E0,9.226723671E0
1.473987370E-1,-1.517647743E0,2.949752092E0,9.255437851E0
1.498522790E-1,-1.512862086E0,2.916252613E0,9.284152031E0
1.523076960E-1,-1.536790371E0,2.901895761E0,9.250652313E0
1.547670710E-1,-1.517647743E0,2.921038151E0,9.265008926E0
1.572204040E-1,-1.469791293E0,2.901895761E0,9.265008926E0
1.596835810E-1,-1.493719578E0,2.901895761E0,9.241081238E0
1.621368620E-1,-1.532004714E0,2.887538671E0,9.241081238E0
1.645922790E-1,-1.493719578E0,2.930609465E0,9.207581520E0
1.670503520E-1,-1.512862086E0,2.997608662E0,9.174081802E0
1.695046750E-1,-1.541576028E0,3.002394199E0,9.150154114E0
1.719636850E-1,-1.565504193E0,3.002394199E0,9.169296265E0
1.744376960E-1,-1.575075507E0,3.026322365E0,9.145368576E0
1.768766020E-1,-1.599003673E0,3.050250769E0,9.092725754E0
1.793332690E-1,-1.560718536E0,3.074178934E0,9.083154678E0
1.817904560E-1,-1.608574986E0,3.064607620E0,9.064012527E0
1.842479560E-1,-1.584646821E0,3.074178934E0,9.035298347E0
1.867038410E-1,-1.613360643E0,3.083750248E0,9.016156197E0
1.891608210E-1,-1.613360643E0,3.131606579E0,8.987442017E0
1.916166540E-1,-1.632503271E0,3.117249727E0,8.982656479E0
1.940745710E-1,-1.685743570E0,3.141177893E0,8.953942299E0
1.965317580E-1,-1.680359721E0,3.160320520E0,8.915657043E0
1.989891020E-1,-1.670788407E0,3.155534744E0,8.901300430E0
2.014449870E-1,-1.719243050E0,3.165106058E0,8.906085968E0
2.039038940E-1,-1.728814363E0,3.131606579E0,8.925228119E0
2.063600390E-1,-1.786242127E0,3.193820000E0,8.915657043E0
2.088142580E-1,-1.829312921E0,3.217748165E0,8.906085968E0
2.112710290E-1,-1.853241086E0,3.208176851E0,8.896514893E0
2.137285810E-1,-1.891526341E0,3.222533941E0,8.930013657E0
2.161861850E-1,-1.968096614E0,3.270390272E0,8.930013657E0
2.186430600E-1,-1.987239242E0,3.294318676E0,8.982656479E0
2.211010810E-1,-2.020738840E0,3.327818155E0,9.001798630E0
2.235573830E-1,-2.087737799E0,3.351746321E0,9.040083885E0
2.260145190E-1,-2.121237278E0,3.409173965E0,9.092725754E0
2.284714980E-1,-2.169093609E0,3.480958700E0,9.087940216E0
2.309309250E-1,-2.154736757E0,3.485744476E0,9.078369141E0
2.333851960E-1,-2.145165443E0,3.514458179E0,9.078369141E0
2.358424350E-1,-2.092523336E0,3.500101328E0,9.102297783E0
2.382987890E-1,-2.063809633E0,3.476173162E0,9.064012527E0
2.407555080E-1,-1.977667928E0,3.409173965E0,9.068798065E0
2.432124350E-1,-1.905883193E0,3.327818155E0,9.001798630E0
2.456691020E-1,-1.834098577E0,3.289532900E0,8.934800148E0
2.481302480E-1,-1.776670814E0,3.169891834E0,8.863015175E0
2.505829040E-1,-1.685743570E0,3.011965513E0,8.752944946E0
2.530399870E-1,-1.594218135E0,2.954537868E0,8.743373871E0
2.554966540E-1,-1.450648785E0,2.825325251E0,8.772088051E0
2.579533730E-1,-1.388435364E0,2.743371248E0,8.676374435E0
2.604132690E-1,-1.335793257E0,2.647658348E0,8.666803360E0
2.628680600E-1,-1.302293777E0,2.604587555E0,8.681160927E0
2.653241020E-1,-1.283151150E0,2.494517565E0,8.757730484E0
2.677830080E-1,-1.240080357E0,2.417947292E0,8.886942863E0
2.702400390E-1,-1.278365493E0,2.355733871E0,8.925228119E0
2.726957160E-1,-1.321436286E0,2.322234392E0,8.949156761E0
2.751521750E-1,-1.331007600E0,2.279163599E0,9.064012527E0
2.776086850E-1,-1.335793257E0,2.245664120E0,9.164510727E0
2.800630080E-1,-1.431506157E0,2.245664120E0,9.207581520E0
2.825201440E-1,-1.493719578E0,2.250449657E0,9.269794464E0
2.849768100E-1,-1.469791293E0,2.231307030E0,9.389435768E0
2.874345710E-1,-1.493719578E0,2.255235434E0,9.408578873E0
2.898916020E-1,-1.579861164E0,2.255235434E0,9.466006279E0
2.923487890E-1,-1.627717614E0,2.279163599E0,9.427721024E0
2.948060810E-1,-1.661217093E0,2.279163599E0,9.451649666E0
2.972624870E-1,-1.685743570E0,2.346162558E0,9.461220741E0
2.997204560E-1,-1.743171334E0,2.365305185E0,9.504291534E0
3.021774350E-1,-1.776670814E0,2.427518606E0,9.547960281E0
