"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.197324300E-2,-2.528907657E-1,-4.915793240E-1,-3.261924386E-1
2.447480600E-2,-2.528907657E-1,-4.915793240E-1,-3.261924386E-1
2.697709700E-2,-6.975875497E-1,-9.900307059E-1,-4.007157981E-1
2.945996200E-2,-7.415685654E-1,-1.005912781E0,-4.214846194E-1
3.198897200E-2,-7.879929543E-1,-1.019351363E0,-4.434750974E-1
3.449647200E-2,-8.368607163E-1,-1.027903199E0,-4.679090083E-1
3.700131600E-2,-8.869501948E-1,-1.035233378E0,-4.911212027E-1
3.951282700E-2,-9.370396733E-1,-1.038898468E0,-5.179984570E-1
4.201376400E-2,-9.871291518E-1,-1.043785214E0,-5.424323678E-1
4.449574300E-2,-1.038440347E0,-1.043785214E0,-5.680879354E-1
4.702824300E-2,-1.093416572E0,-1.036455035E0,-5.949652195E-1
4.950959700E-2,-1.148392797E0,-1.024238110E0,-6.181774139E-1
5.203980600E-2,-1.196038961E0,-1.007134438E0,-6.426113248E-1
5.452162900E-2,-1.238798261E0,-9.692618847E-1,-6.633801460E-1
5.704970200E-2,-1.285222650E0,-9.411629438E-1,-6.890357137E-1
5.955928500E-2,-1.330425382E0,-9.228374958E-1,-7.110261917E-1
6.204006600E-2,-1.379293084E0,-9.069554806E-1,-7.317950130E-1
6.454704500E-2,-1.424495816E0,-8.947384953E-1,-7.537854910E-1
6.707595200E-2,-1.468476772E0,-8.861866593E-1,-7.745543122E-1
6.956329500E-2,-1.521009684E0,-8.837432861E-1,-7.953231335E-1
7.208636800E-2,-1.569877505E0,-8.776348233E-1,-8.136485219E-1
7.455074300E-2,-1.623632073E0,-8.593093753E-1,-8.307522535E-1
7.707709700E-2,-1.673721433E0,-8.360971808E-1,-8.478559852E-1
7.958277400E-2,-1.728697777E0,-8.104416132E-1,-8.637380004E-1
8.208886800E-2,-1.784895658E0,-7.713474035E-1,-8.759549856E-1
8.462105600E-2,-1.842315316E0,-7.188144922E-1,-8.881719112E-1
8.712543100E-2,-1.902178407E0,-6.528429985E-1,-8.979454637E-1
8.963751400E-2,-1.957154632E0,-5.819846988E-1,-9.077190161E-1
9.213954500E-2,-2.012130976E0,-5.221216679E-1,-9.138274789E-1
9.461892000E-2,-2.068328857E0,-4.671454430E-1,-9.187142849E-1
9.714834700E-2,-2.128191948E0,-4.182776511E-1,-9.223793745E-1
9.965636800E-2,-2.185611486E0,-3.816268146E-1,-9.260444641E-1
1.021540770E-1,-2.240587711E0,-3.474193811E-1,-9.272661209E-1
1.046427220E-1,-2.298007488E0,-3.242071867E-1,-9.260444641E-1
1.071295450E-1,-2.355427027E0,-3.046600819E-1,-9.223793745E-1
1.095880870E-1,-2.415290117E0,-3.022166789E-1,-9.174925685E-1
1.120421490E-1,-2.476374865E0,-3.095468581E-1,-9.089407325E-1
1.145070970E-1,-2.537459612E0,-3.278722763E-1,-8.979454637E-1
1.169591290E-1,-2.592435837E0,-3.461976945E-1,-8.857285380E-1
1.193915770E-1,-2.638860226E0,-3.608580232E-1,-8.686248064E-1
1.218729830E-1,-2.679176092E0,-3.730749488E-1,-8.515210748E-1
1.243064720E-1,-2.717048645E0,-3.914003670E-1,-8.331956863E-1
1.267628790E-1,-2.746369362E0,-4.231644273E-1,-8.099834919E-1
1.292209520E-1,-2.778133392E0,-4.634803534E-1,-7.855495811E-1
1.316760560E-1,-2.809897423E0,-5.221216679E-1,-7.574505806E-1
1.341325660E-1,-2.841661453E0,-6.003101468E-1,-7.269082665E-1
1.365922540E-1,-2.877090693E0,-6.784985662E-1,-6.939224601E-1
1.390477220E-1,-2.917406559E0,-7.579087615E-1,-6.572716236E-1
1.415048580E-1,-2.957722425E0,-8.532009125E-1,-6.206207871E-1
1.439616290E-1,-3.002925158E0,-9.411629438E-1,-5.815265775E-1
1.464227220E-1,-3.046906233E0,-1.021794796E0,-5.387672782E-1
1.488756910E-1,-3.089665413E0,-1.102426648E0,-4.935645759E-1
1.513320450E-1,-3.127537966E0,-1.168398142E0,-4.459185004E-1
1.537913160E-1,-3.148306847E0,-1.190388560E0,-3.946073353E-1
1.562477740E-1,-3.154415131E0,-1.201383829E0,-3.432961702E-1
