"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.114795834E-2,4.521692693E-1,-4.301489592E-1,2.953352928E-1
2.115695833E-2,5.120916963E-1,-4.349287748E-1,1.837560087E-1
3.116595834E-2,4.593828022E-1,-4.136366546E-1,5.696785077E-2
4.117495834E-2,3.561027646E-1,-3.279856741E-1,-4.653430358E-2
5.118495834E-2,2.650345564E-1,-2.350183427E-1,-1.388030052E-1
6.119395833E-2,2.419979423E-1,-1.879736036E-1,-2.058827132E-1
7.120295834E-2,3.033261597E-1,-1.435479820E-1,-2.263761461E-1
8.121295834E-2,3.978380263E-1,-6.394901872E-2,-2.128368914E-1
9.122195834E-2,4.785593152E-1,3.989328444E-2,-1.923128814E-1
1.012309583E-1,5.245153904E-1,1.630964428E-1,-1.643182635E-1
1.112399583E-1,5.262759328E-1,2.504164875E-1,-1.296057552E-1
1.212499583E-1,4.898665845E-1,2.533036172E-1,-6.595593691E-2
1.312589583E-1,4.491916299E-1,1.409353018E-1,6.266704947E-2
1.412679583E-1,4.174978733E-1,-6.637980044E-2,2.044164538E-1
1.512779583E-1,3.776857853E-1,-2.948299646E-1,3.134933114E-1
1.612869583E-1,3.300673962E-1,-4.294410348E-1,3.764054477E-1
1.712959583E-1,2.917092741E-1,-3.723588884E-1,3.902948201E-1
1.813049583E-1,2.718266547E-1,-1.269645840E-1,3.668099940E-1
1.913149583E-1,2.277862281E-1,1.409240216E-1,2.961097956E-1
2.013239583E-1,1.451078653E-1,2.783932090E-1,2.355290055E-1
2.113329583E-1,3.542026132E-2,2.747925520E-1,1.631312221E-1
2.213429583E-1,-7.399437577E-2,2.647891641E-1,8.937922865E-2
2.313519583E-1,-1.919024587E-1,2.488436550E-1,1.899459399E-2
2.413609583E-1,-2.748847008E-1,2.149850279E-1,-5.450828932E-3
2.513699583E-1,-2.753205001E-1,1.585021764E-1,1.814138517E-2
2.613799583E-1,-2.123080045E-1,1.124316081E-1,9.727296233E-2
2.713889583E-1,-1.771116853E-1,2.022056468E-2,1.850511581E-1
2.813979583E-1,-1.675671786E-1,-6.137229502E-2,2.683607042E-1
2.914079583E-1,-1.459019929E-1,-9.899398685E-2,3.297788501E-1
3.014169583E-1,-1.110659763E-1,-1.112437248E-1,3.656718731E-1
3.114259583E-1,-6.764077395E-2,-1.365318745E-1,3.859718144E-1
3.214349583E-1,-2.263867669E-2,-1.946540326E-1,3.846548796E-1
3.314449583E-1,1.674306393E-2,-2.311775833E-1,3.602202237E-1
3.414539583E-1,2.573709190E-2,-2.102259547E-1,3.240811229E-1
3.514629583E-1,1.408319734E-2,-1.892567128E-1,2.860516012E-1
