"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.386333373E-3,5.508544922E-1,9.778715057E0,-3.252735901E-1
1.139533333E-2,3.650907898E-1,9.973460083E0,-8.719367981E-1
2.140333329E-2,4.828958130E-1,9.898316345E0,-6.529421997E-1
3.141133336E-2,5.448669434E-1,9.847721558E0,-6.647676086E-1
4.141933331E-2,5.393284607E-1,9.951755219E0,-7.429051208E-1
5.142833339E-2,5.610333252E-1,9.952952728E0,-7.999365234E-1
6.143633334E-2,6.854246521E-1,9.908495178E0,-9.437873840E-1
7.144433330E-2,7.563771057E-1,9.874964905E0,-9.448352051E-1
8.145333338E-2,7.927514648E-1,9.818981323E0,-9.488768005E-1
9.146133333E-2,7.937992859E-1,9.776769104E0,-9.545649719E-1
1.014693334E-1,8.366102600E-1,9.789642334E0,-9.445358276E-1
1.114773334E-1,8.258326721E-1,9.782307587E0,-9.780661011E-1
1.214863333E-1,8.596623230E-1,9.791887665E0,-9.788145447E-1
1.314943334E-1,8.975335693E-1,9.799372101E0,-9.843530273E-1
1.415023333E-1,8.866062927E-1,9.807754669E0,-9.651928711E-1
1.515113333E-1,8.399034119E-1,9.816586304E0,-9.346563721E-1
1.615193334E-1,8.089178467E-1,9.787247314E0,-9.074130249E-1
1.715273333E-1,7.851173401E-1,9.835297394E0,-9.225315857E-1
1.815353334E-1,8.792715454E-1,9.919572144E0,-9.569599915E-1
1.915443334E-1,8.734336853E-1,9.926308136E0,-9.979747009E-1
2.015523333E-1,8.217910767E-1,9.839488678E0,-9.632469177E-1
2.115603334E-1,7.247927856E-1,9.744286652E0,-8.797206116E-1
2.215693333E-1,6.870712280E-1,9.654623108E0,-8.364605713E-1
2.315773333E-1,7.101232910E-1,9.693841553E0,-8.220904541E-1
2.415853334E-1,6.888674927E-1,9.668244781E0,-8.059240723E-1
2.515933333E-1,6.954537964E-1,9.577683105E0,-7.731422424E-1
2.616023334E-1,7.271878052E-1,9.667047272E0,-8.147557068E-1
2.716103334E-1,6.948550415E-1,9.745484161E0,-8.833131409E-1
2.816183333E-1,7.265890503E-1,9.714348907E0,-9.406439209E-1
2.916273334E-1,7.625143433E-1,9.787995758E0,-9.990225220E-1
3.016355000E-1,7.768844604E-1,9.832453308E0,-1.048868866E0
3.116435000E-1,8.030799866E-1,9.824070740E0,-1.028511200E0
3.216515001E-1,7.894583130E-1,9.823921051E0,-9.550140381E-1
3.316605000E-1,7.885601807E-1,9.756860504E0,-9.108558655E-1
3.416685000E-1,7.409591675E-1,9.762698364E0,-8.816665649E-1
3.516765001E-1,6.950047302E-1,9.799671478E0,-8.541238403E-1
3.616855000E-1,6.631210327E-1,9.804910583E0,-8.196954346E-1
3.716935000E-1,6.159690857E-1,9.889933777E0,-7.964936829E-1
3.817015000E-1,5.402265930E-1,9.964628448E0,-7.655081177E-1
3.917095000E-1,4.851411438E-1,9.986782379E0,-7.427554321E-1
4.017185000E-1,4.320016479E-1,9.942324829E0,-7.457492065E-1
4.117265000E-1,3.867956543E-1,9.928104401E0,-7.502398682E-1
4.217345000E-1,3.468287659E-1,9.916578369E0,-7.337741089E-1
4.317435001E-1,3.176394653E-1,9.898016968E0,-7.348219299E-1
4.417515000E-1,2.516267395E-1,9.908944244E0,-7.423063660E-1
4.517595000E-1,1.908531189E-1,9.882748718E0,-7.321275330E-1
4.617675000E-1,1.651066589E-1,9.890831909E0,-7.294331360E-1
4.717765000E-1,1.432521057E-1,9.890083466E0,-7.179071045E-1
4.817845001E-1,1.501377869E-1,9.906399536E0,-7.110214233E-1
4.917925000E-1,1.767823792E-1,9.906549225E0,-6.960525513E-1
5.018015000E-1,2.368075562E-1,9.892478485E0,-6.806346130E-1
5.118095001E-1,2.906954956E-1,9.868228912E0,-6.680607605E-1
5.218175000E-1,3.150947571E-1,9.864337006E0,-6.367758179E-1
5.318255000E-1,3.049159241E-1,9.859546967E0,-5.945635986E-1
5.418345000E-1,2.793191528E-1,9.850715332E0,-5.523513794E-1
5.518425000E-1,2.412982178E-1,9.846374359E0,-5.309458923E-1
5.618505001E-1,2.116598511E-1,9.851314087E0,-5.694158936E-1
5.718595000E-1,1.848655701E-1,9.838440857E0,-5.798941040E-1
5.818675000E-1,1.823208618E-1,9.880653076E0,-6.044430542E-1
5.918755000E-1,1.725910950E-1,9.922416229E0,-6.331832886E-1
6.018835000E-1,1.920506287E-1,9.884844360E0,-6.753955078E-1
6.118925000E-1,2.194436646E-1,9.876162415E0,-6.762936401E-1
6.219005000E-1,2.459385681E-1,9.900861053E0,-7.077282715E-1
6.319085000E-1,2.775228882E-1,9.885892181E0,-7.075785828E-1
6.419165001E-1,3.562591553E-1,9.891280975E0,-7.189549255E-1
6.519255000E-1,4.314028931E-1,9.871821442E0,-7.259902954E-1
6.619335000E-1,5.086422729E-1,9.879156189E0,-7.403604126E-1
6.719415000E-1,5.845344543E-1,9.870025177E0,-7.277865601E-1
6.819505000E-1,6.435118103E-1,9.844428406E0,-7.412585449E-1
6.919585000E-1,6.700067139E-1,9.808952179E0,-7.448510742E-1
7.019665000E-1,6.953041077E-1,9.799821167E0,-7.099736023E-1
7.119745000E-1,6.911128235E-1,9.778864746E0,-6.611750793E-1
7.219835001E-1,6.792874146E-1,9.721234589E0,-6.361770630E-1
7.319915000E-1,6.475534058E-1,9.732610931E0,-6.566844177E-1
7.419995000E-1,6.517446899E-1,9.757908325E0,-6.496490479E-1
7.520085000E-1,6.816824341E-1,9.748627625E0,-6.551875305E-1
7.620165000E-1,7.388635254E-1,9.773475952E0,-6.457571411E-1
7.720245001E-1,7.729925537E-1,9.806108093E0,-6.408174133E-1
7.820325000E-1,7.982899475E-1,9.811197510E0,-6.251000977E-1
7.920415000E-1,7.893086243E-1,9.818532257E0,-6.165678406E-1
8.020495001E-1,7.622149658E-1,9.790989532E0,-6.276448059E-1
8.120575000E-1,7.628137207E-1,9.773326263E0,-6.301895142E-1
8.220665000E-1,7.940986633E-1,9.781259766E0,-6.661148071E-1
8.320745000E-1,7.827223206E-1,9.788444824E0,-6.873706055E-1
8.420825000E-1,7.729925537E-1,9.787546692E0,-6.581813049E-1
8.520905001E-1,7.493417358E-1,9.769584045E0,-6.411167908E-1
8.620995000E-1,7.312294006E-1,9.771380310E0,-6.340814209E-1
8.721075000E-1,7.463479614E-1,9.789941711E0,-6.460565186E-1
8.821155000E-1,7.744894409E-1,9.811197510E0,-6.688092041E-1
8.921245000E-1,8.214916992E-1,9.821226654E0,-6.873706055E-1
9.021325000E-1,8.536747742E-1,9.816586304E0,-6.911128235E-1
9.121405000E-1,8.813671875E-1,9.818831635E0,-6.927593994E-1
9.221485000E-1,8.939410400E-1,9.834249573E0,-6.912625122E-1
9.321575001E-1,8.933422852E-1,9.826016693E0,-6.704557800E-1
9.421655000E-1,8.662486267E-1,9.802365875E0,-6.316864014E-1
9.521735000E-1,8.324189758E-1,9.802515564E0,-6.231541443E-1
9.621825001E-1,7.996371460E-1,9.824519806E0,-6.215075684E-1
9.721905000E-1,7.879614258E-1,9.881401520E0,-6.262976074E-1
9.821985000E-1,8.053253174E-1,9.931098175E0,-6.518943787E-1
9.922065000E-1,8.366102600E-1,9.946665802E0,-6.788383484E-1
1.002215500E0,8.756790161E-1,9.903256073E0,-7.009922791E-1
1.012223500E0,9.235794067E-1,9.825268250E0,-7.226971436E-1
1.022231500E0,9.764195251E-1,9.736951904E0,-7.264393616E-1
1.032239500E0,1.050515442E0,9.663005676E0,-7.095245361E-1
1.042248500E0,1.116528168E0,9.639205170E0,-7.110214233E-1
1.052256500E0,1.133742371E0,9.685608673E0,-6.971003723E-1
1.062264500E0,1.141825562E0,9.730964355E0,-7.068301392E-1
1.072273500E0,1.141226807E0,9.783654785E0,-7.135661316E-1
1.082281500E0,1.100511475E0,9.841584320E0,-6.996450806E-1
1.092289500E0,1.052611084E0,9.869426422E0,-6.828799438E-1
1.102297500E0,9.852511597E-1,9.874216461E0,-6.411167908E-1
1.112306500E0,9.261241150E-1,9.845775604E0,-6.078858948E-1
1.122314500E0,8.631051636E-1,9.843380585E0,-5.640270996E-1
1.132322500E0,7.984396362E-1,9.823172607E0,-5.378315735E-1
1.142331500E0,7.494914246E-1,9.779613190E0,-5.197192383E-1
1.152339500E0,7.415579224E-1,9.739646301E0,-5.340893555E-1
1.162347500E0,7.355703735E-1,9.719288635E0,-5.812413025E-1
1.172355500E0,7.188052368E-1,9.742939453E0,-6.035449219E-1
1.182364500E0,7.083270264E-1,9.796378326E0,-6.122268677E-1
1.192372500E0,7.140151978E-1,9.827214203E0,-6.141728210E-1
1.202380500E0,7.095245361E-1,9.902058563E0,-6.191125488E-1
1.212388500E0,7.241940308E-1,9.903854828E0,-5.879772949E-1
1.222397500E0,7.394622803E-1,9.856702881E0,-5.751040649E-1
1.232405500E0,7.363188171E-1,9.819430389E0,-5.316943359E-1
1.242413500E0,7.307803345E-1,9.799821167E0,-5.029541016E-1
1.252422500E0,7.355703735E-1,9.777517548E0,-4.875361633E-1
1.262430500E0,7.270381165E-1,9.796228638E0,-4.755610657E-1
1.272438500E0,7.292834473E-1,9.817185059E0,-4.650828552E-1
1.282446500E0,7.250921631E-1,9.845027161E0,-4.797523499E-1
1.292455500E0,7.146139526E-1,9.846374359E0,-5.072950745E-1
1.302463083E0,7.438032532E-1,9.848619690E0,-5.499563599E-1
1.312471083E0,7.765850830E-1,9.852810974E0,-5.855822754E-1
1.322480083E0,8.234376526E-1,9.857451324E0,-6.150709534E-1
1.332488083E0,8.584648132E-1,9.833950195E0,-6.535409546E-1
1.342496083E0,8.674461365E-1,9.838291168E0,-6.668632507E-1
1.352504083E0,9.032217407E-1,9.881251831E0,-6.632707214E-1
1.362513083E0,9.171427917E-1,9.864786072E0,-6.420149231E-1
1.372521083E0,8.878038025E-1,9.852511597E0,-6.240522766E-1
1.382529083E0,8.674461365E-1,9.820328522E0,-5.870791626E-1
1.392537083E0,8.153544617E-1,9.768835602E0,-5.843847656E-1
1.402546083E0,7.813751221E-1,9.735305328E0,-5.511538696E-1
1.412554083E0,7.637118530E-1,9.733359375E0,-5.559439087E-1
1.422562083E0,7.463479614E-1,9.749226379E0,-5.605842590E-1
1.432571083E0,7.589218140E-1,9.665550385E0,-5.599855042E-1
1.442579083E0,7.936495972E-1,9.742789764E0,-5.716612244E-1
1.452587083E0,8.211923218E-1,9.747729492E0,-5.858816528E-1
