"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.547083565E-4,5.178812146E-2,1.065315008E-1,-6.711761653E-2
1.056570833E-2,-5.482167751E-2,5.192577839E-2,-7.043831050E-2
2.057670837E-2,-1.697062850E-1,-6.775846705E-4,-8.226321638E-2
3.058770834E-2,-2.933318019E-1,-6.905531138E-2,-1.026049703E-1
4.059870838E-2,-4.083655179E-1,-1.715198308E-1,-1.248787493E-1
5.060970836E-2,-5.077448487E-1,-2.818149030E-1,-1.570558548E-1
6.062070833E-2,-5.660623312E-1,-3.530234098E-1,-1.950083971E-1
7.063170837E-2,-5.989097953E-1,-3.762373924E-1,-2.269412875E-1
8.064270834E-2,-6.092864871E-1,-3.999706805E-1,-2.481070012E-1
9.065370838E-2,-6.122135520E-1,-4.285791516E-1,-2.597604692E-1
1.006647084E-1,-6.116827130E-1,-4.493596554E-1,-2.696377039E-1
1.106757083E-1,-6.166013479E-1,-4.777548015E-1,-2.770181298E-1
1.206867084E-1,-6.334982514E-1,-5.394948125E-1,-2.830897272E-1
1.306977083E-1,-6.651824117E-1,-6.440640688E-1,-2.783200145E-1
1.407087084E-1,-7.006973624E-1,-7.365638614E-1,-2.720645368E-1
1.507197084E-1,-7.508955002E-1,-8.008360863E-1,-2.663267553E-1
1.607307083E-1,-8.047377467E-1,-8.337284327E-1,-2.526774704E-1
1.707417084E-1,-8.768377900E-1,-8.465499878E-1,-2.391014844E-1
1.807527083E-1,-9.595377445E-1,-8.529207110E-1,-2.334506810E-1
1.907637084E-1,-1.054320693E0,-8.313376904E-1,-2.287179828E-1
2.007747084E-1,-1.155834317E0,-7.788704634E-1,-2.255592793E-1
2.107857083E-1,-1.267515063E0,-7.326079011E-1,-2.069696188E-1
2.207967084E-1,-1.369512796E0,-7.102953196E-1,-1.644836813E-1
2.308077083E-1,-1.438656926E0,-6.910468340E-1,-9.470538795E-2
2.408187084E-1,-1.444547176E0,-6.421151757E-1,-3.639842384E-3
2.508297084E-1,-1.361424088E0,-5.271707177E-1,9.200785309E-2
2.608407083E-1,-1.185418367E0,-3.684952855E-1,1.689437181E-1
2.708517084E-1,-9.456052184E-1,-1.843518019E-1,2.148952335E-1
2.808627083E-1,-6.790966988E-1,5.349099636E-3,2.178905159E-1
2.908737084E-1,-4.480201006E-1,2.040747106E-1,1.947122365E-1
3.008847084E-1,-2.959760129E-1,3.953789771E-1,1.642369032E-1
3.108957083E-1,-2.321275324E-1,5.618313551E-1,1.343099028E-1
3.209067084E-1,-2.586561739E-1,7.171373963E-1,9.873501956E-2
3.309177083E-1,-3.545981646E-1,8.641529083E-1,5.751274526E-2
3.409287084E-1,-5.042227507E-1,1.011371970E0,7.365639322E-3
3.509397084E-1,-6.929529905E-1,1.195984125E0,-4.595644027E-2
3.609507083E-1,-9.091250300E-1,1.416001320E0,-9.440724552E-2
3.709617084E-1,-1.125898123E0,1.649987459E0,-1.361906379E-1
3.809727083E-1,-1.314575672E0,1.894524574E0,-1.605540663E-1
3.909837084E-1,-1.466952682E0,2.140578508E0,-1.591633558E-1
4.009947084E-1,-1.574003696E0,2.345687628E0,-1.315099746E-1
4.110057083E-1,-1.627020240E0,2.493800163E0,-6.547263265E-2
4.210167084E-1,-1.623274446E0,2.606525183E0,2.760861069E-2
4.310277083E-1,-1.569136381E0,2.725133181E0,1.621823907E-1
4.410387084E-1,-1.444970727E0,2.785963774E0,3.663354814E-1
4.510497084E-1,-1.290057302E0,2.663993835E0,5.840004683E-1
4.610607083E-1,-1.167835236E0,2.264251471E0,7.027137280E-1
4.710717084E-1,-1.035187483E0,1.963108182E0,7.418811321E-1
4.810827083E-1,-8.505013585E-1,1.872975707E0,6.364253759E-1
4.910937084E-1,-6.570158005E-1,1.967156529E0,3.107681870E-1
5.011047084E-1,-4.260396957E-1,2.079192162E0,-1.518901438E-1
5.111157083E-1,-1.906562001E-1,2.138558388E0,-5.595836043E-1
