"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.630940833E-1,5.827903152E-1,-5.058963299E-1,4.660385549E-1
1.730730833E-1,5.891181827E-1,-4.142341912E-1,6.187269092E-1
1.830220833E-1,6.509013772E-1,-1.813082695E-1,7.927330136E-1
1.930010833E-1,7.527714372E-1,1.113043204E-1,9.023982882E-1
2.029500833E-1,8.229023218E-1,4.020682573E-1,9.847288728E-1
2.129290833E-1,8.478016853E-1,6.439794898E-1,1.045312285E0
2.229080833E-1,8.813106418E-1,8.274119496E-1,1.106432319E0
2.328570833E-1,9.213039279E-1,8.981661201E-1,1.130194187E0
2.428360833E-1,9.401305914E-1,8.145468235E-1,1.130564690E0
2.527850833E-1,9.265511632E-1,6.098882556E-1,1.102839828E0
2.627640833E-1,8.786150813E-1,4.408853948E-1,1.057921052E0
2.727440833E-1,8.438853621E-1,2.917107046E-1,1.050360084E0
2.826920833E-1,8.161075115E-1,2.079769373E-1,1.086182475E0
2.926710833E-1,7.964711189E-1,1.619666219E-1,1.138342142E0
3.026200833E-1,7.969071269E-1,1.875508130E-1,1.200130939E0
3.125990833E-1,8.117265105E-1,2.281400859E-1,1.234146953E0
3.225790833E-1,8.277528882E-1,3.019839525E-1,1.252925634E0
3.325270833E-1,8.444446325E-1,4.039703906E-1,1.246789694E0
3.425070833E-1,8.636955619E-1,5.138617158E-1,1.207228661E0
3.524550833E-1,9.038835168E-1,6.151058078E-1,1.140109897E0
3.624350833E-1,9.293875098E-1,6.906911135E-1,1.072902679E0
3.724140833E-1,9.530227780E-1,7.600401640E-1,1.002442837E0
3.823630833E-1,9.700545073E-1,7.820178866E-1,9.377589226E-1
3.923420833E-1,9.666412473E-1,7.577643991E-1,9.016457200E-1
4.022910833E-1,9.455047846E-1,7.257494926E-1,8.876540065E-1
4.122700833E-1,9.060595632E-1,7.520805597E-1,8.955491781E-1
4.222490833E-1,8.577357531E-1,7.767166495E-1,9.325873852E-1
4.321980833E-1,8.154598475E-1,7.809257507E-1,9.830763340E-1
4.421770833E-1,7.624711990E-1,7.663931251E-1,1.018080115E0
4.521260833E-1,7.303916812E-1,7.571436763E-1,1.066412449E0
4.621050833E-1,7.227625251E-1,7.684392333E-1,1.084610701E0
4.720840833E-1,7.181143761E-1,8.183076978E-1,1.092241645E0
4.820330833E-1,7.003500462E-1,8.548206687E-1,1.091043591E0
4.920120833E-1,6.826854348E-1,8.399474621E-1,1.061518192E0
5.019610833E-1,6.667669415E-1,8.212632537E-1,1.026525617E0
5.119400833E-1,6.338912845E-1,7.392445207E-1,9.510960579E-1
5.219200833E-1,6.088953614E-1,6.676329374E-1,9.184976220E-1
5.318680833E-1,5.701394677E-1,5.790448189E-1,8.734893799E-1
5.418480833E-1,5.261517763E-1,5.553967953E-1,8.651065826E-1
5.517960833E-1,4.808892012E-1,5.292196870E-1,8.570273519E-1
5.617664583E-1,4.598433077E-1,5.066971183E-1,8.092060685E-1
5.717464583E-1,4.707204103E-1,5.256375074E-1,7.962647080E-1
5.816944583E-1,4.823778868E-1,5.324900746E-1,7.378178835E-1
5.916744583E-1,5.194360614E-1,6.138637662E-1,7.337927818E-1
6.016534583E-1,5.653476119E-1,6.614062190E-1,6.909422278E-1
6.116024583E-1,5.891523957E-1,6.866433620E-1,6.841945648E-1
6.215814583E-1,5.764624476E-1,6.916674376E-1,7.225230336E-1
6.315304583E-1,5.486136079E-1,5.990378857E-1,6.942312121E-1
6.415094583E-1,5.409772992E-1,5.928015709E-1,7.441263795E-1
6.514884583E-1,5.088968873E-1,5.578570366E-1,7.738107443E-1
6.614374583E-1,4.728592932E-1,4.727520049E-1,7.630837560E-1
6.714164583E-1,4.456793666E-1,4.060803652E-1,7.945287824E-1
6.813654583E-1,4.306985438E-1,3.255892694E-1,8.033302426E-1
6.913444583E-1,4.081007838E-1,2.053691894E-1,7.922605872E-1
7.013234583E-1,3.599758744E-1,6.131934375E-2,7.223648429E-1
7.112724583E-1,2.925611436E-1,-5.463620275E-2,6.190757751E-1
7.212514583E-1,2.035164684E-1,-9.377348423E-2,4.925940037E-1
7.312004583E-1,8.870081604E-2,-6.664256006E-2,3.793864846E-1
7.411794583E-1,-2.357618883E-2,-1.149914507E-2,2.770369351E-1
7.511594583E-1,-9.995825589E-2,5.571328104E-3,1.847509444E-1
7.611074583E-1,-1.230129749E-1,1.607669890E-2,1.230076924E-1
7.710874583E-1,-1.065696552E-1,4.013493285E-2,9.724585712E-2
7.810354583E-1,-6.032386795E-2,8.717568219E-2,9.486019611E-2
7.910154583E-1,-1.669389568E-2,1.521804035E-1,1.253328919E-1
8.009944583E-1,3.370882571E-2,1.265195161E-1,1.528590471E-1
8.109434583E-1,9.386748075E-2,3.122917004E-2,1.643572599E-1
8.209224583E-1,1.365904361E-1,-4.386291653E-2,1.722252965E-1
8.308714583E-1,6.180395558E-2,-6.521563977E-2,1.560527235E-1
8.408504583E-1,-5.407417938E-2,-6.788439304E-2,1.153766587E-1
8.508294583E-1,-1.286745071E-1,-7.267227769E-2,4.829856381E-2
8.607784583E-1,-1.819513142E-1,-5.972159654E-2,-8.316998137E-4
