"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.008708427E-3,-1.483415222E0,9.984986115E0,-1.030457153E0
1.201670826E-2,-1.523681488E0,9.849517822E0,-1.069525909E0
2.202470833E-2,-1.474134521E0,9.642198944E0,-9.894424438E-1
3.203270840E-2,-1.370849304E0,9.501940613E0,-9.575587463E-1
4.204070824E-2,-1.268013153E0,9.651030579E0,-9.788145447E-1
5.204870831E-2,-1.260678406E0,9.791288910E0,-9.072633362E-1
6.205670838E-2,-1.281934204E0,9.782008209E0,-8.836125183E-1
7.206370845E-2,-1.330133972E0,9.832153931E0,-9.361532593E-1
8.207170828E-2,-1.362017670E0,9.904902649E0,-8.942404175E-1
9.207970835E-2,-1.337319031E0,9.860744476E0,-8.364605713E-1
1.020877084E-1,-1.241518250E0,9.840386810E0,-8.187973022E-1
1.120957083E-1,-1.051712952E0,9.732012177E0,-7.429051208E-1
1.221037083E-1,-7.098239136E-1,9.422455902E0,-6.529421997E-1
1.321117084E-1,-5.170248413E-1,9.255852356E0,-6.707551575E-1
1.421197082E-1,-4.209246826E-1,9.026080170E0,-7.331753540E-1
1.521277083E-1,-5.962101746E-1,9.179361420E0,-7.244934082E-1
1.621343750E-1,-8.433462524E-1,9.472302246E0,-4.677772522E-1
1.721423750E-1,-9.186396790E-1,9.720635834E0,-2.989283752E-1
1.821503751E-1,-1.025966492E0,9.880353699E0,-3.499722290E-1
1.921583749E-1,-8.598120117E-1,1.024050476E1,2.583627319E-1
2.021663750E-1,-8.981323242E-1,1.037761963E1,-4.932243347E-1
2.121743751E-1,-1.174308014E0,9.876312103E0,-5.155279541E-1
2.221823749E-1,-1.008303223E0,9.768835602E0,-7.893086243E-1
2.321903750E-1,-9.797126770E-1,9.618697815E0,-7.595205688E-1
2.421983751E-1,-8.931925964E-1,9.472751312E0,-7.993377686E-1
2.522063751E-1,-7.433541870E-1,9.567653961E0,-9.514215088E-1
2.622133750E-1,-6.854246521E-1,9.730964355E0,-8.446934509E-1
2.722213750E-1,-8.111631775E-1,9.936486969E0,-7.054829407E-1
2.822293751E-1,-8.849597168E-1,1.004156845E1,-7.253915405E-1
2.922373749E-1,-1.047821045E0,9.989776154E0,-6.212081909E-1
3.022453750E-1,-1.077160034E0,9.918823700E0,-8.198451233E-1
3.122533751E-1,-1.018182678E0,9.831555176E0,-7.445516968E-1
3.222613749E-1,-1.038390656E0,9.760003967E0,-6.042933655E-1
3.322693750E-1,-9.883946228E-1,9.791737976E0,-6.752458191E-1
3.422773750E-1,-9.529183960E-1,9.821376343E0,-7.957452393E-1
3.522853751E-1,-1.033151550E0,9.794881439E0,-8.222401428E-1
3.622933750E-1,-1.151405640E0,9.682016144E0,-8.887019348E-1
3.723013750E-1,-1.377435608E0,9.631571045E0,-1.024619293E0
3.823093751E-1,-1.530267792E0,9.645941162E0,-1.073268127E0
3.923173749E-1,-1.625020752E0,9.609417114E0,-1.030756531E0
4.023253750E-1,-1.760638733E0,9.539512482E0,-1.059646454E0
4.123333751E-1,-1.939367065E0,9.508227539E0,-1.113384705E0
4.223413749E-1,-2.089504852E0,9.515711975E0,-1.167272644E0
4.323493750E-1,-2.182311859E0,9.530531158E0,-1.244212646E0
4.423573751E-1,-2.260898438E0,9.592053223E0,-1.323248291E0
4.523643751E-1,-2.241738281E0,9.650282135E0,-1.316961365E0
4.623723750E-1,-2.159110107E0,9.664053497E0,-1.234782257E0
4.723803750E-1,-2.058818665E0,9.668544159E0,-1.136137390E0
4.823883751E-1,-1.959275665E0,9.665251007E0,-1.073866882E0
4.923963749E-1,-1.867067413E0,9.684860229E0,-1.026565247E0
5.024043750E-1,-1.759441223E0,9.724228363E0,-9.524693298E-1
5.124123751E-1,-1.614841919E0,9.719588013E0,-9.068142700E-1
5.224203749E-1,-1.451980591E0,9.674531708E0,-8.328680420E-1
5.324283750E-1,-1.266665955E0,9.587412872E0,-7.400610352E-1
5.424363750E-1,-1.071172485E0,9.469458160E0,-6.988966370E-1
5.524443751E-1,-9.151968384E-1,9.378597107E0,-6.652166748E-1
5.624523750E-1,-8.054750061E-1,9.246871033E0,-6.852749634E-1
5.724603750E-1,-7.599696350E-1,9.067693634E0,-8.319699097E-1
5.824683751E-1,-7.987390137E-1,8.979976044E0,-9.542655945E-1
5.924763749E-1,-9.389973450E-1,8.944050751E0,-9.349557495E-1
6.024843750E-1,-1.097368011E0,8.913065186E0,-1.002764740E0
6.124923751E-1,-1.142873383E0,8.965156860E0,-1.264720001E0
6.225003749E-1,-1.188977509E0,9.073830872E0,-1.328038330E0
6.325083750E-1,-1.514849854E0,9.188492432E0,-1.304836578E0
6.425153750E-1,-1.843416595E0,9.426347809E0,-1.637444916E0
6.525233751E-1,-1.942360840E0,9.803862762E0,-1.745520172E0
6.625313750E-1,-2.247426453E0,1.018467087E1,-1.703607330E0
6.725393750E-1,-2.610571289E0,1.060439804E1,-1.796114960E0
6.825473751E-1,-2.720143433E0,1.092473190E1,-1.721569977E0
6.925553749E-1,-2.581681366E0,1.103505249E1,-1.758393402E0
7.025633750E-1,-2.545756073E0,1.127245880E1,-2.600691833E0
7.125713751E-1,-2.250120850E0,1.063134201E1,-1.244661713E0
7.225793749E-1,-2.300865326E0,1.054272629E1,-2.233206024E0
7.325873750E-1,-2.353406067E0,1.053554123E1,-2.255809021E0
7.425953750E-1,-2.346969452E0,1.014635056E1,-2.339335327E0
7.526033751E-1,-2.248623962E0,9.789642334E0,-2.379601593E0
7.626113750E-1,-2.128124542E0,9.495354309E0,-2.411485291E0
7.726193750E-1,-1.974094849E0,9.301657104E0,-2.342179413E0
7.826273751E-1,-1.772314453E0,9.178762665E0,-2.273621979E0
7.926353749E-1,-1.574126587E0,9.128766632E0,-2.182162170E0
