"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.079770833E-2,-7.738560438E-2,1.476649046E-1,1.669424474E-1
6.080570840E-2,-7.721117139E-2,1.424986422E-1,1.703624874E-1
7.081270823E-2,-8.038117737E-2,1.507333070E-1,1.963168532E-1
8.082070830E-2,-7.717153430E-2,1.371407956E-1,2.312197089E-1
9.082870837E-2,-8.371945471E-2,1.125485301E-1,2.538009882E-1
1.008367084E-1,-9.723339975E-2,7.063569874E-2,2.671583295E-1
1.108447083E-1,-1.323665380E-1,3.981456161E-3,2.571745217E-1
1.208527084E-1,-1.519498229E-1,-6.505592912E-2,2.473623455E-1
1.308607084E-1,-1.660650223E-1,-1.220160350E-1,2.112364769E-1
1.408687083E-1,-1.854435205E-1,-1.704322994E-1,1.739447713E-1
1.508767083E-1,-1.988645643E-1,-2.063435018E-1,1.448698938E-1
1.608833750E-1,-1.865517050E-1,-2.976348102E-1,1.326236129E-1
1.708913750E-1,-1.608123928E-1,-3.389921486E-1,1.140785888E-1
1.808993751E-1,-1.370314211E-1,-3.624058664E-1,9.038257599E-2
1.909073750E-1,-7.207857072E-2,-5.178850293E-1,1.038208902E-1
2.009153750E-1,-6.200702488E-2,-4.939833879E-1,6.518615037E-2
2.109233751E-1,-5.587071180E-2,-4.109342098E-1,8.970344812E-2
2.209313749E-1,-5.417720601E-2,-3.381923735E-1,1.197143346E-1
2.309393750E-1,-6.377317756E-2,-2.906441987E-1,1.234664172E-1
2.409473751E-1,-6.258514524E-2,-2.382102907E-1,1.514637023E-1
2.509553749E-1,-4.913675040E-2,-1.879200190E-1,1.741018146E-1
2.609633750E-1,-3.221289814E-2,-2.047330886E-1,1.587902457E-1
2.709703750E-1,-1.704650000E-2,-2.136050910E-1,1.311548203E-1
2.809783751E-1,2.378774807E-2,-2.486658692E-1,1.098857448E-1
2.909863750E-1,1.895020343E-2,-2.655149996E-1,8.496548235E-2
3.009943750E-1,-1.088465750E-2,-2.464510202E-1,8.477719128E-2
3.110023751E-1,-1.260935329E-3,-2.506630123E-1,8.481213450E-2
3.210103749E-1,1.405304018E-2,-2.596975267E-1,7.389716804E-2
3.310183750E-1,2.690588310E-2,-2.760725915E-1,5.544205755E-2
3.410263751E-1,3.246203810E-2,-2.771495879E-1,3.555730358E-2
3.510343749E-1,4.098142311E-2,-2.798984051E-1,1.991464756E-2
3.610423750E-1,4.993417114E-2,-2.725824416E-1,3.893868532E-3
3.710503750E-1,4.642865062E-2,-2.476600409E-1,1.748425420E-3
3.810583751E-1,4.196785763E-2,-2.163806856E-1,-5.206419155E-3
3.910663750E-1,3.389310837E-2,-1.850843728E-1,-1.004671585E-2
4.010743750E-1,2.886319533E-2,-1.482184976E-1,-1.809079386E-2
4.110823751E-1,2.225884236E-2,-1.005146354E-1,-1.834881678E-2
