"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.416458378E-3,-4.381388855E-1,8.330177307E0,3.974235535E-1
1.342445845E-2,-6.018983459E-1,7.826923828E0,8.494834900E-1
2.343245829E-2,-7.159611511E-1,7.037315826E0,1.386117554E0
3.344045836E-2,-1.019978943E0,6.044879608E0,1.787283325E0
4.344845843E-2,-1.429527283E0,4.960833893E0,2.349813538E0
5.345645826E-2,-1.725611572E0,3.862867126E0,2.734064484E0
6.346445833E-2,-1.883533173E0,3.124452667E0,3.041375427E0
7.347245840E-2,-1.848356323E0,2.888393555E0,2.978955231E0
8.348045824E-2,-1.666035461E0,3.051254883E0,2.484533386E0
9.348845831E-2,-1.584455109E0,3.433410187E0,2.121987305E0
1.034964584E-1,-1.362167358E0,3.951632538E0,2.712958374E0
1.135044582E-1,-9.497749329E-1,4.622687073E0,4.135001221E0
1.235124583E-1,3.487747192E-2,5.740113373E0,4.581522675E0
1.335204584E-1,1.016685791E0,7.098837891E0,4.077071686E0
1.435284584E-1,1.833686829E0,8.179291077E0,3.965553589E0
1.535364583E-1,2.404150543E0,8.575966187E0,3.660937042E0
1.635447501E-1,2.540516968E0,8.442892914E0,4.191882935E0
1.735527499E-1,2.296374664E0,7.922874298E0,4.896916809E0
1.835607500E-1,1.698068848E0,7.237000580E0,4.415368195E0
1.935687501E-1,6.086343384E-1,6.049669647E0,4.324656830E0
2.035767499E-1,-3.504212952E-1,4.234693909E0,4.970863037E0
2.135847500E-1,-7.119195557E-1,2.672991486E0,4.825515289E0
2.235927500E-1,-1.173858948E0,3.990850983E0,5.509892120E0
2.336007501E-1,-1.354682922E0,8.663833466E0,6.818770294E0
2.436087499E-1,-8.532257080E-1,1.411235321E1,7.770640869E0
2.536167500E-1,3.323089600E-2,1.913276321E1,7.250472565E0
2.636247501E-1,1.027463379E0,2.240944931E1,4.921914825E0
2.736327499E-1,2.456840973E0,2.263802399E1,2.580334167E0
2.836407500E-1,4.255051575E0,2.104668320E1,1.218166809E0
2.936487501E-1,4.599934387E0,1.861214584E1,2.889591064E0
3.036567499E-1,2.774779816E0,1.605411530E1,5.191504211E0
3.136647500E-1,-7.105723572E-1,1.480795670E1,6.153104553E0
3.236727500E-1,-5.095703430E0,1.437924820E1,6.972051544E0
3.336807501E-1,-8.627908173E0,1.330283661E1,7.207511902E0
