"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.920208335E-3,-1.982178040E0,8.678053894E0,2.177072754E0
1.192920841E-2,-1.706900482E0,8.121960297E0,3.155587921E0
2.193720848E-2,-2.192191315E0,7.817194061E0,3.348237305E0
3.194620856E-2,-3.253184967E0,9.186396790E0,4.227059784E0
4.195420840E-2,-5.061275024E0,1.019230499E1,4.765190735E0
5.196320848E-2,-7.198380890E0,1.130224686E1,3.727997589E0
6.197120855E-2,-8.127498779E0,1.149654282E1,2.851121063E0
7.198020839E-2,-6.233637085E0,1.113220047E1,2.024839325E0
8.198820846E-2,-4.252357178E0,1.085916824E1,1.690434723E0
9.199720854E-2,-3.506009216E0,9.178912354E0,3.492237854E-1
1.020052084E-1,-2.834056549E0,7.504344635E0,1.107846222E0
1.120142085E-1,-4.244423676E0,6.772815857E0,3.479664001E0
1.220222085E-1,-5.654192047E0,6.284231873E0,5.006339264E0
1.320302084E-1,-4.766537933E0,4.406237183E0,1.119372253E0
1.420392084E-1,-5.865402832E0,6.970105591E0,1.578766937E0
1.520472085E-1,-5.229824524E0,7.741152191E0,2.621049500E-1
1.620562084E-1,-4.606071625E0,8.079748077E0,3.159928894E-1
1.720642084E-1,-4.696932678E0,8.303083649E0,1.159937897E0
1.820732085E-1,-4.040847015E0,8.373736725E0,2.099683685E0
1.920812083E-1,-3.498524780E0,7.648045807E0,3.039728851E0
2.020902084E-1,-3.451372833E0,7.053781586E0,2.956651611E0
2.120982085E-1,-3.641028442E0,7.000193024E0,2.239343262E0
2.221072083E-1,-4.209396515E0,8.055049438E0,1.893712006E0
2.321152084E-1,-4.389022980E0,1.056203613E1,2.814746704E0
2.421242085E-1,-4.048930206E0,1.157692566E1,2.212099915E0
2.521322086E-1,-2.756368103E0,1.147259262E1,3.265758820E0
2.621402084E-1,-1.559756470E0,1.014485367E1,3.918102264E0
2.721492085E-1,-8.403524780E-1,7.536827087E0,3.961511993E0
2.821572085E-1,-7.337741089E-1,9.264234924E0,5.970334625E0
2.921639585E-1,-1.588646393E0,1.139325760E1,5.843398590E0
3.021719584E-1,-2.702779541E0,8.780440979E0,3.919000397E0
3.121809585E-1,-3.748355255E0,6.881190491E0,3.409160614E0
3.221889585E-1,-4.200564880E0,7.885601807E0,2.255809021E0
3.321979584E-1,-3.708987122E0,8.614436188E0,1.495839386E0
3.422059584E-1,-3.013683014E0,6.876101074E0,1.389111328E0
3.522149585E-1,-3.040477295E0,8.931925964E0,3.606749725E0
3.622229584E-1,-3.914659424E0,1.014964371E1,1.720971222E0
3.722319584E-1,-4.199367371E0,6.690337372E0,1.260229340E0
3.822399585E-1,-4.144431610E0,1.884281616E0,6.218069458E-1
3.922489583E-1,-2.651286621E0,3.498375092E0,-2.483485565E0
4.022569584E-1,-2.445314941E0,2.779120789E0,-1.738634491E0
4.122649585E-1,-2.389930115E0,1.835183716E0,-4.261637878E-1
4.222739583E-1,-2.333796844E0,6.568790131E0,-1.722019043E0
4.322819584E-1,-2.039359131E0,7.906857605E0,-2.758463745E0
4.422909585E-1,-1.347946930E0,1.567001404E1,-2.302212524E0
4.522989586E-1,-2.096689911E0,1.848131790E1,-2.266736298E0
4.623079584E-1,-3.388353882E0,1.851005814E1,-1.488504639E0
4.723159585E-1,-3.659589844E0,1.634765488E1,-1.132993927E0
4.823249585E-1,-3.141068115E0,1.329400497E1,-1.332229614E0
4.923329584E-1,-2.238894196E0,1.067639832E1,-9.111552429E-1
5.023419585E-1,-1.554966431E0,1.052551208E1,-5.260061646E-1
5.123499585E-1,-2.100432129E0,1.181552948E1,1.164877625E0
5.223589584E-1,-2.592309265E0,1.217553085E1,1.581611023E0
5.323669584E-1,-2.270478516E0,1.161734161E1,6.605763245E-1
5.423749585E-1,-2.955903168E0,1.097218323E1,1.178648987E0
